date;time;ppm;temp;humidity;light;ground moisture;unprocessed ground moisture
09/19/21;21:07:46;989;23,00;95,00;27,92;100;473
09/19/21;23:07:47;1992;23,00;95,00;0,00;100;432
09/20/21;01:07:47;2817;22,00;95,00;0,00;100;419
09/20/21;03:07:48;3479;22,00;95,00;0,00;100;412
09/20/21;05:07:48;4027;21,00;94,00;0,00;100;407
09/20/21;07:07:49;4444;21,00;94,00;2,50;100;405
09/20/21;09:07:49;4570;21,00;94,00;465,83;100;410
09/20/21;11:07:50;4225;21,00;94,00;430,42;100;404
09/20/21;13:07:50;4208;22,00;95,00;268,33;100;402
09/20/21;15:07:51;4272;22,00;95,00;190,42;100;402
09/20/21;17:07:51;4447;22,00;95,00;97,08;100;399
09/20/21;19:07:52;4681;21,00;94,00;42,50;100;401
09/20/21;19:14:15;4698;21,00;94,00;33,75;100;400
